command	level	tags
true	00	exit-syscall,return-codes,smoke-test
false	00	exit-syscall,return-codes,smoke-test
echo	00	stdout,stderr,argv,write-syscall,option-subset
yes	00	stdout,argv,write-syscall,simple-loop,pipe-behavior
pwd	00	cwd,getcwd-syscall,stdout
arch	00	utsname,uname-syscall,stdout
ascii	00	stdout,write-syscall,static-table
clear	00	stdout,write-syscall,terminal-escape
uname	00	utsname,uname-syscall,stdout,option-subset
env	00	envp,stdout,write-syscall,initial-stack,option-subset
printenv	00	envp,stdout,argv,string-scan,write-syscall,option-subset
sleep	00	nanosleep-syscall,argv,decimal-parse,timespec
usleep	00	nanosleep-syscall,argv,decimal-parse,timespec
hostname	00	utsname,uname-syscall,stdout,option-subset
whoami	00	geteuid-syscall,passwd-file,account-lookup,stdout,option-subset
tty	00	ioctl-syscall,procfs,readlink-syscall,stdin,tty-detection,option-subset
ttysize	00	ioctl-syscall,terminal-size,stdin,decimal-format
cat	01	stdin,stdout,file-read,buffer-loop,open-read-write-close
head	01	stdin,stdout,file-read,line-counting,buffer-loop
wc	01	stdin,stdout,file-read,byte-line-word-counting
tee	01	stdin,stdout,file-write,buffer-loop
rev	01	stdin,stdout,string-scan,line-buffer
basename	01	path,string-scan
